Excluded Feature,Remaining Feature
Ind. 11.6.1.1,Ind. 12.6.1.1
Ind. 4.a.1.7,Ind. 1.4.2.2
Ind. 10.7.1.1,Ind. 17.13.1.10
Ind. 10.7.1.1,Ind. 17.13.1.7
Ind. 11.2.1.1,Ind. 17.15.1.6
Ind. 10.7.1.1,Ind. 17.18.3.2
Ind. 14.1.1.9,Ind. 6.a.1.1
Ind. 16.7.1.4,Ind. 8.b.1.1
Ind. 16.7.1.4,Ind. 1.5.4.1
Ind. 8.8.1.1,Ind. 5.6.2.4
Ind. 5.a.1.1,Ind. 5.a.2.1
Ind. 12.1.1.2,Ind. 5.a.2.1
Ind. 2.b.1.1,Ind. 5.6.2.17
Ind. 2.3.1.1,Ind. 11.6.1.1
Ind. 6.6.1.24,Ind. 12.4.2.1
Ind. 16.7.1.4,Ind. 12.4.1.5
Ind. 16.7.1.4,Ind. 3.4.2.1
Ind. 5.6.2.4,Ind. 12.4.2.8
Ind. 15.6.1.4,Ind. 17.13.1.8
Ind. 4.4.1.1,Ind. 3.b.3.1
Ind. 1.3.1.2,Ind. 15.3.1.1
Ind. 12.4.2.10,Ind. 6.6.1.25
Ind. 14.1.1.9,Ind. 3.b.2.2
Ind. 3.8.2.2,Ind. 5.6.2.6
Ind. 4.1.2.1,Ind. 6.6.1.24
Ind. 6.6.1.24,Ind. 10.4.2.1
Ind. 4.5.1.6,Ind. 6.3.2.3
Ind. 11.6.1.1,Ind. 14.1.1.3
Ind. 5.6.2.13,Ind. 12.4.2.15
Ind. 12.4.2.15,Ind. 5.6.2.5
Ind. 10.7.1.1,Ind. 17.13.1.14
Ind. 14.1.1.9,Ind. 6.6.1.18
Ind. 14.1.1.9,Ind. 6.6.1.5
Ind. 12.4.2.17,Ind. 15.3.1.1
Ind. 14.1.1.9,Ind. 15.a.1.1
Ind. 12.4.2.17,Ind. 15.8.1.1
Ind. 17.7.1.5,Ind. 1.5.1.7
Ind. 14.1.1.9,Ind. 9.1.2.3
Ind. 15.6.1.4,Ind. 16.1.1.1
Ind. 5.6.2.13,Ind. 8.8.1.1
Ind. 2.b.1.1,Ind. 5.6.2.12
Ind. 14.1.1.9,Ind. 10.c.1.3
Ind. 14.1.1.9,Ind. 11.5.3.4
Ind. 1.4.2.3,Ind. 3.4.2.1
Ind. 5.6.2.9,Ind. 12.5.1.1
Ind. 6.6.1.24,Ind. 10.c.1.3
Ind. 16.7.1.3,Ind. 8.4.2.2
